quality_noninferiority_margin,max_mean_cost_units,max_p95_latency_ms,max_api_calls_per_query,min_evidence_support_score,abstention_penalty,deployment_volume,governed_winner,constrained_winner,supports_cost_reduction_endpoint
0.005,0.9,30.0,3,0.5,0.0,100000,optuna_tpe,,False
0.005,0.9,50.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,0.9,100.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,0.9,4000.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.0,30.0,3,0.5,0.0,100000,optuna_tpe,,False
0.005,1.0,50.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.0,100.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.0,4000.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.5,30.0,3,0.5,0.0,100000,optuna_tpe,,False
0.005,1.5,50.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.5,100.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,1.5,4000.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,2.0,30.0,3,0.5,0.0,100000,optuna_tpe,,False
0.005,2.0,50.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,2.0,100.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.005,2.0,4000.0,3,0.5,0.0,100000,optuna_tpe,low_retrieval_single_endpoint,False
0.01,0.9,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.01,0.9,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,0.9,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,0.9,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.0,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.01,1.0,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.0,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.0,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.5,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.01,1.5,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.5,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,1.5,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,2.0,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.01,2.0,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,2.0,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.01,2.0,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,0.9,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.02,0.9,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,0.9,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,0.9,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.0,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.02,1.0,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.0,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.0,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.5,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.02,1.5,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.5,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,1.5,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,2.0,30.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,,True
0.02,2.0,50.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,2.0,100.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
0.02,2.0,4000.0,3,0.5,0.0,100000,low_retrieval_single_endpoint,low_retrieval_single_endpoint,True
