policy_id,split,n,final_quality_score,answer_correctness_f1,answer_exact_match,evidence_support_score,supporting_fact_sentence_recall,measured_cost_units,total_latency_ms,p95_latency_ms,api_call_count,context_token_count,failure_rate,abstention_rate,abstention_correctness
adaptive_routing_on_insufficient_evidence,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.06605201633647084,0.08483231067657471,2.0,0.0,2.0,1.0,0.0
constrained_quality_optimizer,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.08980970596894622,0.09037461131811142,2.0,0.0,2.0,1.0,0.0
expanded_retrieval_multi_endpoint,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.06787513848394156,0.07850024849176407,2.0,0.0,2.0,1.0,0.0
governed_selection,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.07256510434672236,0.09962450712919235,2.0,0.0,2.0,1.0,0.0
low_retrieval_single_endpoint,validation,16,0.0,0.0,0.0,0.0,0.0,1.0,0.037437304854393005,0.04120822995901108,1.0,0.0,1.0,1.0,0.0
measured_cost_minimizer_at_quality_floor,validation,16,0.0,0.0,0.0,0.0,0.0,1.0,0.03221078077331185,0.03599934279918671,1.0,0.0,1.0,1.0,0.0
measured_latency_minimizer_at_quality_floor,validation,16,0.0,0.0,0.0,0.0,0.0,1.0,0.04189048195257783,0.041833147406578064,1.0,0.0,1.0,1.0,0.0
pareto_frontier_selector,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.07475487655028701,0.10695774108171463,2.0,0.0,2.0,1.0,0.0
quality_only_best_on_validation,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.06807042518630624,0.10820850729942322,2.0,0.0,2.0,1.0,0.0
rag_compass_optional,validation,16,0.0,0.0,0.0,0.0,0.0,2.0,0.06281246896833181,0.0743744894862175,2.0,0.0,2.0,1.0,0.0
static_default_policy,validation,16,0.0,0.0,0.0,0.0,0.0,1.0,0.03324478166177869,0.04424992948770523,1.0,0.0,1.0,1.0,0.0
adaptive_routing_on_insufficient_evidence,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.07308933085628919,0.0894591212272644,2.0,0.0,2.0,1.0,0.0
constrained_quality_optimizer,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.12741370924881526,0.21845847368240356,2.0,0.0,2.0,1.0,0.0
expanded_retrieval_multi_endpoint,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.1349018088408879,0.18787477165460587,2.0,0.0,2.0,1.0,0.0
governed_selection,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.06842300561921937,0.07791724056005478,2.0,0.0,2.0,1.0,0.0
low_retrieval_single_endpoint,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,1.0,1.1780178839606898,0.06845779716968536,1.0,0.0,1.0,1.0,0.0
measured_cost_minimizer_at_quality_floor,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,1.0,0.038071735096829276,0.057542696595191956,1.0,0.0,1.0,1.0,0.0
measured_latency_minimizer_at_quality_floor,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,1.0,0.03883322434765952,0.05220714956521988,1.0,0.0,1.0,1.0,0.0
pareto_frontier_selector,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.12004754639097623,0.10449998080730438,2.0,0.0,2.0,1.0,0.0
quality_only_best_on_validation,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.09922330666865621,0.12412667274475098,2.0,0.0,2.0,1.0,0.0
rag_compass_optional,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,2.0,0.08205364325216838,0.08149910718202591,2.0,0.0,2.0,1.0,0.0
static_default_policy,confirmatory_test,14,0.0,0.0,0.0,0.0,0.0,1.0,0.03842869773507118,0.04291720688343048,1.0,0.0,1.0,1.0,0.0
